,result idx,result mask idx,comparison result idx,comparison result mask idx,x distance,y distance,x distance per frame,shape * similarity
402,30,1,34,1,89.54988681398373,15.542304433273614,22.387471703495933,280.512
403,30,1,35,0,21.711179112116767,-8.756871636876667,4.342235822423353,1.8363818
404,30,1,36,0,-53.09946105952925,34.46003327509737,8.849910176588208,8.377653
405,30,1,37,0,-109.93364860845777,-48.16964012193017,15.704806944065396,1.0719843
406,30,1,38,0,-171.79779166160347,-71.30480601620525,21.474723957700434,1.6962842
407,31,0,32,0,-66.89161669069244,7.001689604571766,66.89161669069244,2.253252
408,31,0,32,1,128.44185808644923,-116.07926412356369,128.44185808644923,24.24221
409,31,0,33,0,-131.7383653099042,7.764869493088611,65.8691826549521,2.0014086
410,31,0,33,1,73.95828670036192,13.007853837877747,36.97914335018096,99.902145
411,31,0,34,0,-195.41824613830707,41.78492839943664,65.13941537943569,1.4108866
412,31,0,34,1,153.64438014104775,60.570362706674246,51.21479338034925,229.53358
413,31,0,35,0,85.80567243918077,36.271186636523964,21.451418109795192,2.4133549
414,31,0,36,0,10.995032267534754,79.488091548498,2.199006453506951,10.906395
415,31,0,37,0,-45.83915528139377,-3.1415818485295404,7.639859213565629,2.693895
416,31,0,38,0,-107.70329833453948,-26.276747742804616,15.386185476362783,1.8867115
417,31,0,39,0,-168.71727097775565,-15.328853282007174,21.089658872219456,1.8424399
418,32,0,33,0,-64.84674861921175,0.763179888516845,64.84674861921175,0.91005117
419,32,0,33,1,140.84990339105437,6.006164233305981,140.84990339105437,91.58964
420,32,0,34,0,-128.52662944761462,34.78323879486487,64.26331472380731,1.7234019
421,32,0,34,1,220.5359968317402,53.56867310210248,110.2679984158701,238.29875
422,32,0,35,0,152.6972891298732,29.2694970319522,50.899096376624406,4.347648
423,32,0,36,0,77.8866489582272,72.48640194392624,19.4716622395568,13.619975
424,32,0,37,0,21.052461409298672,-10.143271453101306,4.210492281859734,1.2731997
425,32,0,38,0,-40.81168164384704,-33.27843734737638,6.801946940641173,1.3233258
426,32,0,39,0,-101.8256542870632,-22.33054288657894,14.546522041009029,2.7536983
427,32,0,40,0,-158.76122896682736,-45.84308703067825,19.84515362085342,3.170768
428,32,0,40,1,146.1714620457626,79.20034244444469,18.271432755720326,101.77705
429,32,1,33,0,-260.1802233963534,123.8441336166523,260.1802233963534,19.820005
430,32,1,33,1,-54.4835713860873,129.08711796144144,54.4835713860873,17.176586
431,32,1,34,0,-323.8601042247563,157.86419252300033,161.93005211237815,24.772415
432,32,1,34,1,25.20252205459851,176.64962683023793,12.601261027299255,522.3912
433,32,1,35,0,-42.636185647268455,152.35045076008765,14.212061882422818,28.454409
434,32,1,36,0,-117.44682581891448,195.5673556720617,29.36170645472862,41.59056
435,32,1,37,0,-174.281013367843,112.93768227503415,34.8562026735686,17.409698
436,32,1,38,0,-236.1451564209887,89.80251638075907,39.35752607016479,19.23781
437,32,1,39,0,-297.1591290642049,100.75041084155652,42.451304152029266,23.17464
438,32,1,40,0,-354.09470374396903,77.2378666974572,44.26183796799613,26.64751
439,32,1,40,1,-49.16201273137907,202.28129617258014,6.145251591422384,178.70154
440,33,0,34,0,-63.67988082840287,34.02005890634803,63.67988082840287,1.5816823
441,33,0,34,1,285.3827454509519,52.805493213585635,285.3827454509519,213.0153
442,33,0,35,0,217.54403774908496,28.506317143435354,108.77201887454248,4.0046234
443,33,0,36,0,142.73339757743895,71.7232220554094,47.57779919247965,12.749276
444,33,0,37,0,85.89921002851042,-10.906451341618151,21.474802507127606,0.8694563
445,33,0,38,0,24.035066975364714,-34.04161723589323,4.807013395072943,1.2738503
446,33,0,39,0,-36.97890566785145,-23.093722775095785,6.163150944641909,2.574376
447,33,0,40,0,-93.91448034761561,-46.60626691919509,13.416354335373658,2.845473
448,33,0,40,1,211.01821066497433,78.43716255592784,30.145458666424904,91.59316
449,33,0,41,0,141.96349117602017,-3.087988517611791,17.74543639700252,129.98653
450,33,1,34,0,-269.376532838669,28.77707456155889,269.376532838669,106.22522
451,33,1,34,1,79.68609344068581,47.5625088687965,79.68609344068581,1488.4125
452,33,1,35,0,11.847385738818843,23.263332798646218,5.923692869409422,125.38166
453,33,1,36,0,-62.96325443282717,66.48023771062026,20.987751477609056,166.17401
