epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,72.2317,1.7769,1.92926,1.98698,1.52106,0.11057,0.35714,0.13723,0.04126,0.22775,0.35714,0.16633,0.05147,3.28607,2.92525,3.16457,2.46839,0.00158219,0.00158219,0.00158219
44,73.5567,2.02645,2.3839,2.13272,1.65285,0.45072,0.35714,0.25765,0.0384,0.85749,0.21429,0.29004,0.10323,2.80374,2.55952,2.93592,2.27818,0.00161655,0.00161655,0.00161655
45,74.756,1.87579,2.37702,2.09436,1.63676,0.45072,0.35714,0.25765,0.0384,0.85749,0.21429,0.29004,0.10323,2.80374,2.55952,2.93592,2.27818,0.00165077,0.00165077,0.00165077
46,76.1422,1.85465,2.46383,2.0345,1.54684,0.32133,0.28571,0.22848,0.0359,0.51922,0.28571,0.32978,0.12306,2.72826,2.7946,3.03691,2.45403,0.00168487,0.00168487,0.00168487
47,77.3542,1.80766,2.05776,1.99495,1.46983,0.32133,0.28571,0.22848,0.0359,0.51922,0.28571,0.32978,0.12306,2.72826,2.7946,3.03691,2.45403,0.00171883,0.00171883,0.00171883
48,78.6912,1.91126,2.164,2.03713,1.59723,0.15872,0.35714,0.18768,0.03708,1,0.2841,0.42293,0.15628,2.89115,2.70323,2.78542,2.3519,0.00175265,0.00175265,0.00175265
49,80.8689,2.01281,2.21266,2.11548,1.66057,0.15872,0.35714,0.18768,0.03708,1,0.2841,0.42293,0.15628,2.89115,2.70323,2.78542,2.3519,0.00178635,0.00178635,0.00178635
50,82.203,1.86457,2.06576,2.01601,1.6325,0.29184,0.42857,0.32292,0.11239,0.31942,0.42857,0.31388,0.13207,2.41431,2.6774,2.19267,1.85571,0.00181992,0.00181992,0.00181992
51,83.4722,1.84306,1.74212,1.98311,1.51822,0.29184,0.42857,0.32292,0.11239,0.31942,0.42857,0.31388,0.13207,2.41431,2.6774,2.19267,1.85571,0.001835,0.001835,0.001835
52,84.8572,2.07212,2.35624,2.15548,1.69871,0.16619,0.35714,0.13916,0.05488,0.24599,0.42857,0.1785,0.06292,2.59201,2.75043,2.64213,2.18528,0.0018317,0.0018317,0.0018317
53,86.1012,1.8805,2.07604,1.97993,1.5166,0.16619,0.35714,0.13916,0.05488,0.24599,0.42857,0.1785,0.06292,2.59201,2.75043,2.64213,2.18528,0.0018284,0.0018284,0.0018284
54,87.3912,1.89296,2.17084,2.03861,1.55449,0.08433,0.35714,0.07143,0.01608,0.42499,0.21429,0.17051,0.03059,3.26768,2.96165,3.17145,2.51715,0.0018251,0.0018251,0.0018251
55,88.6323,1.88076,2.3504,2.06506,1.55347,0.08433,0.35714,0.07143,0.01608,0.42499,0.21429,0.17051,0.03059,3.26768,2.96165,3.17145,2.51715,0.0018218,0.0018218,0.0018218
56,89.9223,1.93527,2.41146,2.18362,1.61248,0.15574,0.28571,0.11006,0.02432,0.68136,0.21429,0.28299,0.0687,2.82433,2.49979,3.07566,2.29925,0.0018185,0.0018185,0.0018185
57,91.2923,1.9095,1.87437,1.97511,1.62676,0.15574,0.28571,0.11006,0.02432,0.68136,0.21429,0.28299,0.0687,2.82433,2.49979,3.07566,2.29925,0.0018152,0.0018152,0.0018152
58,92.7293,1.81338,1.81944,1.96081,1.54021,0.85762,0.14286,0.22337,0.05989,0.70844,0.42857,0.48678,0.16573,2.8165,2.35791,2.54423,2.16669,0.0018119,0.0018119,0.0018119
59,94.0444,1.79389,2.27837,1.99445,1.59847,0.85762,0.14286,0.22337,0.05989,0.70844,0.42857,0.48678,0.16573,2.8165,2.35791,2.54423,2.16669,0.0018086,0.0018086,0.0018086
60,98.3638,1.72065,1.9228,1.85558,1.51038,0.67532,0.21429,0.29898,0.06247,0.4459,0.5,0.41061,0.13166,2.59539,2.46416,2.67548,2.12085,0.0018053,0.0018053,0.0018053
61,99.695,1.76124,1.74098,1.94328,1.57741,0.67532,0.21429,0.29898,0.06247,0.4459,0.5,0.41061,0.13166,2.59539,2.46416,2.67548,2.12085,0.001802,0.001802,0.001802
62,101.105,1.67755,1.70404,1.94318,1.57165,0.53803,0.21429,0.26615,0.05894,0.71343,0.35586,0.42377,0.1558,2.64785,2.7568,3.369,2.18599,0.0017987,0.0017987,0.0017987
63,102.317,1.82043,2.05184,2.14321,1.64154,0.53803,0.21429,0.26615,0.05894,0.71343,0.35586,0.42377,0.1558,2.64785,2.7568,3.369,2.18599,0.0017954,0.0017954,0.0017954
64,103.621,1.55965,1.46685,1.81709,1.43803,0.14994,0.28571,0.12141,0.04213,0.74057,0.35714,0.36875,0.13102,2.38163,3.20686,3.61038,2.10288,0.0017921,0.0017921,0.0017921
65,104.865,1.73356,1.90921,1.8327,1.60354,0.14994,0.28571,0.12141,0.04213,0.74057,0.35714,0.36875,0.13102,2.38163,3.20686,3.61038,2.10288,0.0017888,0.0017888,0.0017888
66,106.243,1.71672,2.0229,1.8849,1.54297,0.29484,0.28571,0.21709,0.07657,0.6684,0.21429,0.2089,0.0741,2.32324,2.96105,3.01623,2.13784,0.0017855,0.0017855,0.0017855
67,107.491,1.75136,1.93984,1.96764,1.56917,0.29484,0.28571,0.21709,0.07657,0.6684,0.21429,0.2089,0.0741,2.32324,2.96105,3.01623,2.13784,0.0017822,0.0017822,0.0017822
68,108.807,1.73489,1.97648,1.87764,1.56551,0.30412,0.28571,0.2531,0.06872,0.445,0.28571,0.30743,0.12896,2.19202,2.91714,2.77224,2.09644,0.0017789,0.0017789,0.0017789
69,110.919,1.74811,1.76125,1.83887,1.54162,0.30412,0.28571,0.2531,0.06872,0.445,0.28571,0.30743,0.12896,2.19202,2.91714,2.77224,2.09644,0.0017756,0.0017756,0.0017756
70,112.298,1.69603,1.93713,1.79722,1.5073,0.29525,0.42857,0.30411,0.08448,0.4428,0.28571,0.25416,0.11491,2.15401,2.60827,2.68108,2.03665,0.0017723,0.0017723,0.0017723
71,113.575,1.68644,1.81318,1.75883,1.46562,0.29525,0.42857,0.30411,0.08448,0.4428,0.28571,0.25416,0.11491,2.15401,2.60827,2.68108,2.03665,0.001769,0.001769,0.001769
72,114.986,1.77487,2.06412,1.90644,1.56222,0.74429,0.21429,0.34357,0.09986,0.74429,0.21429,0.27056,0.13611,2.33471,2.39721,2.54197,1.99583,0.0017657,0.0017657,0.0017657
